"";"TITULOS";"CALIFICACION";"LINKS"
"76";"The Ice Road(2021)
76 ( 32)";"5.6";"imdb.com/title/tt3758814/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_76"
"77";"The Conjuring: The Devil Made Me Do It(2021)
77 ( 25)";"6.3";"imdb.com/title/tt7069210/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_77"
"78";"Army of the Dead(2021)
78 ( 11)";"5.8";"imdb.com/title/tt0993840/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_78"
"79";"Guns Akimbo(2019)
79 ( 305)";"6.3";"imdb.com/title/tt6902676/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_79"
"80";"Top Gun: Maverick(2021)
80 ( 3)";"";"imdb.com/title/tt1745960/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_80"
"81";"Godzilla vs. Kong(2021)
81 ( 10)";"6.4";"imdb.com/title/tt5034838/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_81"
"82";"Spiral: From the Book of Saw(2021)
82 ( 1)";"5.3";"imdb.com/title/tt10342730/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_82"
"83";"Harry Potter y la Piedra Filosofal(2001)
83 ( 1)";"7.6";"imdb.com/title/tt0241527/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_83"
"84";"Promising Young Woman(2020)
84 ( 15)";"7.5";"imdb.com/title/tt9620292/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_84"
"85";"Thor: Love and Thunder(2022)
85 ( 31)";"";"imdb.com/title/tt10648342/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_85"
"86";"Escape Room: Sin salida(2019)
86 ( 4)";"6.4";"imdb.com/title/tt5886046/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_86"
"87";"Ghahreman(2021)
87 ( 243)";"";"imdb.com/title/tt11777738/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_87"
"88";"Love(2015)
88 ( 10)";"6.1";"imdb.com/title/tt3774694/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_88"
"89";"La generación perdida(1987)
89 ( 364)";"7.3";"imdb.com/title/tt0093437/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_89"
"90";"The Matrix(1999)
90 ( 46)";"8.7";"imdb.com/title/tt0133093/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_90"
"91";"Eternals(2021)
91 ( 4)";"";"imdb.com/title/tt9032400/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_91"
"92";"The Dark Knight(2008)
92 ( 23)";"9.0";"imdb.com/title/tt0468569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_92"
"93";"Pulp Fiction: Tiempos violentos(1994)
93 ( 7)";"8.9";"imdb.com/title/tt0110912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_93"
"94";"Thor: Ragnarok(2017)
94 ( 26)";"7.9";"imdb.com/title/tt3501632/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_94"
"95";"Killers of the Flower Moon
95 ( 49)";"";"imdb.com/title/tt5537002/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_95"
"96";"Demonic(2021)
96 ( 1,786)";"";"imdb.com/title/tt13392012/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_96"
"97";"Nope(2022)
97 ( 8,084)";"";"imdb.com/title/tt10954984/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_97"
"98";"Duro de cuidar(2017)
98 ( 42)";"6.9";"imdb.com/title/tt1959563/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_98"
"99";"Fight Club(1999)
99 ( 62)";"8.8";"imdb.com/title/tt0137523/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_99"
"100";"Sin Tiempo Para Morir(2021)
100 ( 13)";"";"imdb.com/title/tt2382320/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_100"
